P_GPa,Raman_shift_cm1,Raman_shift_unc_cm1,NV_hydro_delta_MHz,NV_hydro_delta_unc_MHz
0.0,1334.0,0.0,0.0,0.0
0.5031446540880503,1335.2270397369225,0.025121808207308718,-1.5094339622641506,0.2250131298112996
1.0062893081761006,1336.4540639990628,0.05024267645541955,-3.018867924528301,0.4500262596225992
1.509433962264151,1337.6810727870068,0.07536260482442086,-4.528301886792453,0.6750393894338989
2.0125786163522013,1338.9080661013618,0.10048159339536668,-6.037735849056602,0.9000525192451984
2.5157232704402515,1340.1350439426938,0.12559964224950293,-7.547169811320753,1.125065649056498
3.018867924528302,1341.3620063115686,0.1507167514667154,-9.056603773584905,1.3500787788677977
3.5220125786163523,1342.5889532085935,0.1758329211281005,-10.566037735849056,1.5750919086790973
4.0251572327044025,1343.8158846343745,0.20094815131518087,-12.075471698113205,1.8001050384903967
4.528301886792453,1345.042800589458,0.22606244210765117,-13.584905660377359,2.0251181683016966
5.031446540880503,1346.2697010744705,0.2511757935879059,-15.094339622641506,2.250131298112996
5.534591194968553,1347.4965860899583,0.2762882058355623,-16.60377358490566,2.4751444279242953
6.037735849056604,1348.723455636528,0.301399678931667,-18.11320754716981,2.7001575577355954
6.540880503144654,1349.9503097147456,0.32651021295666854,-19.622641509433965,2.925170687546895
7.044025157232705,1351.1771483252178,0.3516198079918859,-21.132075471698112,3.1501838173581946
7.547169811320755,1352.403971468511,0.37672846411738087,-22.64150943396227,3.3751969471694943
8.050314465408805,1353.6307791452314,0.401836181414536,-24.15094339622641,3.6002100769807934
8.553459119496855,1354.8575713559453,0.4269429599642925,-25.660377358490564,3.825223206792093
9.056603773584905,1356.0843481012598,0.45204879984677226,-27.169811320754718,4.050236336603393
9.559748427672956,1357.3111093817404,0.4771537011431468,-28.679245283018865,4.275249466414692
10.062893081761006,1358.537855197954,0.5022576639338463,-30.188679245283012,4.500262596225992
10.566037735849056,1359.7645855505268,0.5273606882996601,-31.69811320754716,4.7252757260372915
11.069182389937106,1360.9913004400255,0.5524627743212178,-33.20754716981132,4.950288855848591
11.572327044025156,1362.217999867016,0.5775639220794946,-34.71698113207547,5.175301985659891
12.075471698113208,1363.4446838321255,0.6026641316551324,-36.22641509433962,5.400315115471191
12.578616352201259,1364.6713523358994,0.6277634031276431,-37.73584905660377,5.625328245282491
13.081761006289309,1365.8980053789446,0.6528617365795374,-39.24528301886793,5.85034137509379
13.584905660377359,1367.1246429618277,0.6779591320905163,-40.75471698113208,6.075354504905089
14.08805031446541,1368.3512650851546,0.7030555897413122,-42.264150943396224,6.300367634716389
14.59119496855346,1369.577871749492,0.7281511096125872,-43.77358490566037,6.5253807645276884
15.09433962264151,1370.8044629554465,0.7532456917852974,-45.28301886792454,6.7503938943389885
15.59748427672956,1372.0310387035638,0.7783393363396615,-46.79245283018868,6.975407024150288
16.10062893081761,1373.257598994471,0.8034320433566824,-48.30188679245282,7.200420153961587
16.60377358490566,1374.484143828734,0.828523812916213,-49.81132075471699,7.425433283772887
17.10691823899371,1375.7106732068992,0.8536146450997779,-51.32075471698113,7.650446413584186
17.61006289308176,1376.9371871296337,0.8787045399875799,-52.83018867924528,7.875459543395486
18.11320754716981,1378.163685597443,0.9037934976603471,-54.339622641509436,8.100472673206786
18.61635220125786,1379.390168610974,0.9288815181977849,-55.849056603773576,8.325485803018084
19.11949685534591,1380.6166361707526,0.9539686016818385,-57.35849056603773,8.550498932829385
19.62264150943396,1381.843088277406,0.9790547481923563,-58.8679245283019,8.775512062640685
20.12578616352201,1383.06952493152,1.0041399578095205,-60.377358490566024,9.000525192451985
20.628930817610062,1384.2959461336409,1.0292242306150732,-61.88679245283019,9.225538322263283
21.132075471698112,1385.5223518843752,1.0543075666882995,-63.39622641509432,9.450551452074583
21.635220125786162,1386.7487421843095,1.0793899661106612,-64.90566037735849,9.675564581885881
22.138364779874212,1387.97511703403,1.1044714289625313,-66.41509433962264,9.900577711697181
22.641509433962263,1389.2014764341031,1.1295519553232813,-67.92452830188678,10.125590841508481
23.144654088050313,1390.4278203851354,1.1546315452750058,-69.43396226415094,10.350603971319781
23.647798742138363,1391.654148887693,1.1797101988969412,-70.9433962264151,10.57561710113108
24.150943396226417,1392.8804619423624,1.2047879162708977,-72.45283018867924,10.800630230942382
24.654088050314467,1394.1067595497298,1.2298646974763765,-73.96226415094341,11.025643360753682
25.157232704402517,1395.333041710402,1.2549405425940494,-75.47169811320754,11.250656490564982
25.660377358490567,1396.5593084249253,1.2800154517040716,-76.9811320754717,11.47566962037628
26.163522012578618,1397.7855596939055,1.3050894248873086,-78.49056603773586,11.70068275018758
26.666666666666668,1399.0117955179096,1.3301624622249284,-80.0,11.92569587999888
27.169811320754718,1400.2380158975438,1.3552345637959324,-81.50943396226415,12.150709009810178
27.67295597484277,1401.4642208333744,1.3803057296820127,-83.01886792452832,12.375722139621478
28.17610062893082,1402.6904103259878,1.405375959962494,-84.52830188679245,12.600735269432779
28.67924528301887,1403.9165843759704,1.4304452547187434,-86.03773584905662,12.825748399244079
29.18238993710692,1405.1427429839086,1.4555136140304643,-87.54716981132074,13.050761529055377
29.68553459119497,1406.368886150389,1.4805810379780722,-89.0566037735849,13.275774658866677
30.18867924528302,1407.5950138759574,1.505647526642951,-90.56603773584908,13.500787788677977
30.69182389937107,1408.821126161261,1.5307130801044813,-92.0754716981132,13.725800918489277
31.19496855345912,1410.047223006825,1.555777698443598,-93.58490566037736,13.950814048300575
31.69811320754717,1411.2733044132772,1.580841381740394,-95.09433962264151,14.175827178111875
32.20125786163522,1412.4993703811829,1.6059041300752026,-96.60377358490564,14.400840307923174
32.704402515723274,1413.7254209111088,1.63096594352862,-98.11320754716982,14.625853437734476
33.20754716981132,1414.9514560036616,1.656026822180411,-99.62264150943398,14.850866567545774
33.710691823899374,1416.177475659407,1.6810867661114772,-101.13207547169813,15.075879697357076
34.21383647798742,1417.403479878952,1.7061457754020348,-102.64150943396226,15.300892827168372
34.716981132075475,1418.629468662863,1.7312038501326805,-104.15094339622641,15.525905956979674
35.22012578616352,1419.8554420117057,1.7562609903831956,-105.66037735849056,15.750919086790972
35.723270440251575,1421.0813999261072,1.781317196234415,-107.16981132075475,15.975932216602274
36.22641509433962,1422.3073424066133,1.806372467765944,-108.67924528301887,16.200945346413572
36.729559748427675,1423.5332694537906,1.8314268050589144,-110.188679245283,16.425958476224874
37.23270440251572,1424.7591810682857,1.8564802081926333,-111.69811320754715,16.65097160603617
37.735849056603776,1425.9850772506247,1.8815326772481789,-113.20754716981133,16.87598473584747
38.23899371069182,1427.2109580014344,1.9065842123057601,-114.71698113207546,17.10099786565877
38.742138364779876,1428.4368233212604,1.9316348134455767,-116.22641509433964,17.32601099547007
39.24528301886792,1429.6626732107097,1.9566844807475607,-117.7358490566038,17.55102412528137
39.74842767295598,1430.8885076703282,1.981733214291862,-119.24528301886792,17.77603725509267
40.25157232704402,1432.1143267007428,2.0067810141597353,-120.75471698113205,18.00105038490397
40.75471698113208,1433.3401303025196,2.0318278804300567,-122.26415094339623,18.226063514715268
41.257861635220124,1434.5659184762449,2.0568738131839845,-123.77358490566039,18.451076644526566
41.76100628930818,1435.7916912224853,2.081918812501217,-125.28301886792457,18.676089774337864
42.264150943396224,1437.017448541847,2.1069628784626726,-126.79245283018864,18.901102904149166
42.76729559748428,1438.2431904348964,2.1320060111470984,-128.30188679245282,19.126116033960464
43.270440251572325,1439.4689169021995,2.157048210636468,-129.81132075471697,19.351129163771763
43.77358490566038,1440.6946279443835,2.182089477009697,-131.32075471698116,19.576142293583064
44.276729559748425,1441.9203235619939,2.2071298103477615,-132.83018867924528,19.801155423394363
44.77987421383648,1443.1460037556176,2.232169210729877,-134.3396226415094,20.026168553205665
45.283018867924525,1444.371668525861,2.257207678236921,-135.84905660377356,20.251181683016963
45.78616352201258,1445.59731787327,2.282245212949314,-137.35849056603774,20.476194812828265
46.289308176100626,1446.8229517984514,2.3072818149467196,-138.86792452830187,20.701207942639563
46.79245283018868,1448.0485703019913,2.3323174843087524,-140.37735849056605,20.92622107245086
47.295597484276726,1449.2741733844564,2.357352221116983,-141.8867924528302,21.15123420226216
47.79874213836478,1450.4997610464327,2.3823860254496494,-143.39622641509433,21.37624733207346
48.301886792452834,1451.725333288527,2.407418897388375,-144.9056603773585,21.601260461884763
48.80503144654088,1452.950890111265,2.432450837012643,-146.41509433962264,21.826273591696065
49.308176100628934,1454.1764315152936,2.4574818444027766,-147.92452830188682,22.051286721507363
49.81132075471698,1455.4019575011391,2.482511919638733,-149.43396226415095,22.27629985131866
50.314465408805034,1456.6274680694075,2.507541062800412,-150.94339622641508,22.501312981129963
50.81761006289308,1457.8529632206858,2.532569273968526,-152.45283018867923,22.72632611094126
51.320754716981135,1459.0784429555597,2.5575965532221447,-153.9622641509434,22.95133924075256
51.82389937106918,1460.303907274596,2.582622900642196,-155.47169811320754,23.176352370563862
52.327044025157235,1461.5293561783808,2.6076483163085107,-156.98113207547172,23.40136550037516
52.83018867924528,1462.7547896675005,2.632672800300361,-158.49056603773587,23.62637863018646
53.333333333333336,1463.9802077425418,2.6576963526988844,-160.0,23.85139175999776
53.83647798742138,1465.2056104040707,2.6827189735838615,-161.50943396226413,24.07640488980906
54.339622641509436,1466.4309976526736,2.7077406630349494,-163.0188679245283,24.301418019620357
54.84276729559748,1467.656369488937,2.7327614211315416,-164.52830188679246,24.52643114943166
55.34591194968554,1468.881725913447,2.757781247955134,-166.03773584905665,24.751444279242957
55.84905660377358,1470.1070669267701,2.782800143584668,-167.5471698113207,24.976457409054255
56.35220125786164,1471.332392529513,2.8078181081000655,-169.0566037735849,25.201470538865557
56.855345911949684,1472.5577027222216,2.8328351415819677,-170.56603773584905,25.426483668676855
57.35849056603774,1473.7829975055022,2.8578512441100905,-172.07547169811323,25.651496798488157
57.861635220125784,1475.0082768799216,2.8828664157644583,-173.58490566037736,25.876509928299452
58.36477987421384,1476.2335408460858,2.907880656624579,-175.09433962264148,26.101523058110754
58.867924528301884,1477.4587894045412,2.9328939667710427,-176.60377358490564,26.326536187922052
59.37106918238994,1478.6840225559145,2.957906346282665,-178.1132075471698,26.551549317733354
59.874213836477985,1479.9092403007314,2.9829177952410957,-179.62264150943395,26.776562447544656
60.37735849056604,1481.134442639619,3.00792831372472,-181.13207547169816,27.001575577355954
60.880503144654085,1482.3596295731431,3.032937901814281,-182.64150943396226,27.226588707167252
61.38364779874214,1483.5848011018702,3.0579465595887103,-184.1509433962264,27.451601836978554
61.886792452830186,1484.8099572264068,3.082954287129727,-185.66037735849056,27.676614966789852
62.38993710691824,1486.0350979473192,3.107961084515507,-187.16981132075472,27.90162809660115
62.893081761006286,1487.2602232651936,3.1329669518269507,-188.67924528301887,28.126641226412453
63.39622641509434,1488.4853331805762,3.1579718891426474,-190.18867924528303,28.35165435622375
63.899371069182386,1489.710427694114,3.1829758965443284,-191.69811320754712,28.57666748603505
64.40251572327044,1490.9355068063528,3.2079789741099494,-193.20754716981128,28.801680615846347
64.90566037735849,1492.1605705178592,3.2329811219203686,-194.71698113207543,29.02669374565765
65.40880503144655,1493.3856188292393,3.257982340055494,-196.22641509433964,29.25170687546895
65.9119496855346,1494.6106517410599,3.2829826285949166,-197.7358490566038,29.47672000528025
66.41509433962264,1495.8356692539069,3.307981987618214,-199.24528301886795,29.701733135091548
66.91823899371069,1497.0606713683467,3.332980417206305,-200.75471698113205,29.926746264902846
67.42138364779875,1498.2856580849857,3.3579779174368505,-202.26415094339626,30.15175939471415
67.9245283018868,1499.5106294043906,3.3829744883919637,-203.7735849056604,30.376772524525446
68.42767295597484,1500.7355853271272,3.40797013015022,-205.2830188679245,30.601785654336744
68.93081761006289,1501.9605258538224,3.4329648427911996,-206.79245283018867,30.826798784148046
69.43396226415095,1503.1854509850018,3.457958626395385,-208.30188679245282,31.051811913959348
69.937106918239,1504.4103607212726,3.4829514810427744,-209.81132075471697,31.276825043770643
70.44025157232704,1505.6352550632,3.5079434068119455,-211.32075471698113,31.501838173581945
70.94339622641509,1506.8601340114121,3.532934403783132,-212.83018867924528,31.726851303393243
71.44654088050315,1508.0849975664337,3.557924472036323,-214.3396226415095,31.95186443320455
71.9496855345912,1509.3098457288518,3.582913611651885,-215.84905660377365,32.17687756301584
72.45283018867924,1510.5346784992923,3.6079018227080715,-217.35849056603774,32.401890692827145
72.95597484276729,1511.7594958782822,3.6328891052859333,-218.8679245283019,32.62690382263844
73.45911949685535,1512.9842978664276,3.6578754594639302,-220.377358490566,32.85191695244975
73.9622641509434,1514.2090844642944,3.682860885322795,-221.88679245283015,33.07693008226104
74.46540880503144,1515.4338556724895,3.7078453829421685,-223.3962264150943,33.30194321207234
74.96855345911949,1516.6586114915792,3.732828952401114,-224.90566037735846,33.52695634188364
75.47169811320755,1517.8833519221298,3.757811593779586,-226.41509433962267,33.75196947169494
75.9748427672956,1519.1080769647272,3.7827933071573976,-227.92452830188682,33.976982601506236
76.47798742138365,1520.3327866199581,3.8077740926139323,-229.43396226415092,34.20199573131754
76.98113207547169,1521.5574808884087,3.832753950228974,-230.94339622641508,34.42700886112884
77.48427672955975,1522.7821597706454,3.857732880082522,-232.4528301886793,34.65202199094014
77.9874213836478,1524.006823267255,3.8827108822538845,-233.96226415094344,34.87703512075144
78.49056603773585,1525.2314713788032,3.907687956822417,-235.4716981132076,35.10204825056274
78.99371069182389,1526.4561041058964,3.9326641038681944,-236.98113207547163,35.32706138037404
79.49685534591195,1527.6807214491016,3.957639323470883,-238.49056603773585,35.55207451018534
80.0,1528.9053234090043,3.9826136157099845,-240.0,35.77708763999664
